หลักฐานการสมัครและการส่งหลักฐานการสมัคร Portfolio,การสมัครผ่านระบบ www.admissions.kku.ac.th และส่งหลักฐานอัฟโหลดผ่านระบบเพียงช่องทางเดียวเท่านั้น
จบวุฒิ ปวส. สามารถสมัครเรียนได้หรือไม่,"คณะวิศวกรรมศาสตร์ เปิดสอนหลักสูตร 4 ปี ไม่มีหลักสูตรต่อเนื่อง 
ในการสมัครต้องใช้วุฒิการศึกษา ม. 6 หรือ ปวช. เปิดรับสมัครจำนวน 3 รอบ รอบที่ 1 Portfolio รอบที่ 2 โควตา ซึ่งเป็นการจบจากโรงเรียนในเขตพื้นที่ภาคตะวันออกเฉียงเหนือ โดยมีคะแนน NetSat และ TPAT 3 และรอบที่ 3 Admission โดยมีคะแนน TPAT 3 และ A-Level เมื่อรายงานตัวเป็นนักศึกษาจะสามารถทำเรื่องขอเทียบโอนรายวิชาที่เรียนจบจากวุฒิ ปวส. นำมาขอเทียบโอนรายวิชา โดยเนื้อหารายวิชาที่สามารถเทียบโอนได้ต้องมีเนื้อหาเหมือนกันไม่น้อยกว่า 80% สามารถดูรายละเอียดวิชาได้จากเว็บไซต์ www.en.kku.ac.th"
หากจบมัธยมศึกษาตอนปลาย สายศิลป์ สามารถสมัครเรียนได้หรือไม่,"หากจบจากโรงเรียนในเขตพื้นที่ภาคตะวันออกเฉียงเหนือ สามารถสมัครรอบที่ 2 โควตา โดยมีคะแนน NetSat และ TPAT 3 ได้ และสามารถสมัครรอบที่ 3 Admission โดยมีคะแนน TPAT 3 และ A-Level
สำหรับรอบที่ 1 Portfolio ไม่สามารถสมัครได้ เพราะต้องมีคะแนนกลุ่มวิชาคณิตศาสตร์ กลุ่มวิชาเคมี และกลุ่มวิชาฟิสิกส์ รวมทุกกลุ่มไม่ต่ำกว่า 3.00
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
ค่าธรรมเนียมการศึกษา,"สำหรับผู้เข้าศึกษา ตั้งแต่ปีการศึกษา 2568 เป็นต้นไป
ระดับปริญญาตรี หลักสูตรปกติ 20,000 บาท/เทอม
• วิศวกรรมโยธา 
• วิศวกรรมไฟฟ้า 
• วิศวกรรมเกษตร 
• วิศวกรรมอุตสาหการ 
• วิศวกรรมเครื่องกล 
• วิศวกรรมสิ่งแวดล้อม 
• วิศวกรรมเคมี 
• วิศวกรรมคอมพิวเตอร์ 
• วิศวกรรมระบบอิเล็กทรอนิกส์ 
• วิศวกรรมระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์ 30,000 บาท/เทอม
หลักสูตรระดับปริญญาตรี หลักสูตรนานาชาติ 45,000 บาท/เทอม
1. วิศวกรรมโทรคมนาคม 
2. วิศวกรรมโลจิสติกส์ 
3. วิศวกรรมกระบวนการเคมี 
4. วิศวกรรมสื่อดิจิทัล 
• นักศึกษาต่างชาติ (กลุ่มประเทศในอนุภูมิภาคลุ่มแม่น้ำโขง) ค่าธรรมเนียมภาคการศึกษาละ 45,000 บาท และค่าธรรมเนียมพิเศษ ภาคการศึกษาละ 5,000 บาท รวมชำระ 50,000 บาทต่อเทอม
• นักศึกษาต่างชาติประเทศอื่นๆ ค่าธรรมเนียมภาคการศึกษาละ 60,000 บาท และค่าธรรมเนียมพิเศษ ภาคการศึกษาละ 5,000 บาท รวมชำระ 65,000 บาทต่อเทอม และมีค่าธรรมเนียมแรกเข้าชำระเพียงครั้งเดียวในเทอมแรก 10,000 บาท
ระดับบัณฑิตศึกษา 
• ภาคปกติ
ป.โท 30,000 บาทต่อเทอม
ป.เอก 37,500 บาทต่อเทอม
• โครงการพิเศษ
ป.โท 40,000 บาทต่อเทอม
ป.เอก 47,500 บาทต่อเทอม
• นักศึกษาต่างชาติ ชำระเพิ่มอีกค่าธรรมเนียมนักศึกษาต่างชาติ เทอมละ 15,000 บาท
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
หลักสูตรระดับปริญญาตรี หลักสูตรนานาชาติ,"เปิดสอนจำนวน 4 หลักสูตร ได้แก่ 
1. วิศวกรรมโทรคมนาคม (Telecommunications Engineering) 
2. วิศวกรรมโลจิสติกส์ (Logistics Engineering) 
3. วิศวกรรมกระบวนการเคมี (Chemical Process Engineering)
4. วิศวกรรมสื่อดิจิทัล (Digital Media Engineering)
สามารถดูรายละเอียดของหลักสูตรได้ที่ 
https://www.en.kku.ac.th/web/หลักสูตร
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
รายชื่อโรงเรียนที่เข้าร่วมโครงการรับนักเรียนที่มีศักยภาพสูงด้านวิศวกรรมศาสตร์,"สามารถตรวจสอบรายชื่อโรงเรียน MOU ได้ที่ 
https://www.en.kku.ac.th/web/โรงเรียน-mou"
สอบถามเกี่ยวกับเรียนต่อในระดับปริญญาตรี,"การรับนักเรียนเข้าศึกษาคณะวิศวกรรมศาสตร์ สามารถดูรายละเอียดได้ที่ https://www.en.kku.ac.th/web/วิธีรับเข้าศึกษา 
หรือสอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเกี่ยวกับหลักสูตรการเรียนการสอน,"เปิดสอนจำนวน 14 หลักสูตร ได้แก่หลักสูตรปกติ จำนวน 10 หลักสูตร และหลักสูตรนานาชาติ จำนวน 4 หลักสูตร 
สามารถดูรายละเอียดของหลักสูตรได้ที่ 
https://www.en.kku.ac.th/web/หลักสูตร
หรือสอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามด้านการเรียนต่างๆ,"การเรีนการสอนแบ่งออกเป็น 2 ภาคการศึกษา ได้แก่ ภาคการศึกษาต้น และภาคการศึกษาปลาย โดย 1 ภาคการศึกษาใช้ระยะเวลาศึกษา ไม่น้อยกว่า 15 สัปดาห์ ภาคการศึกษาต้น เปิดเทอม มิ.ย. - ต.ค. ภาคการศึกษาปลาย พ.ย. - มี.ค. 
หรือ สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง การผ่อนผันค่าเทอม,"นักศึกษาสามารถยื่นคำร้องขอผ่อนผันค่าธรรมเนียมการศึกษาได้ในกรณีที่มีเหตุความจำเป็น โดยสามารถยื่นคำร้องขอผ่อนผันค่าธรรมเนียมการศึกษาผ่านระบบ https://req.kku.ac.th/ 
หรือ สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง คนต่างชาติ สามารถสมัครเรียนได้ไหม,"กรณีผู้สมัครเป็นคนต่างชาติ ไม่สามารถสื่อสารภาษาไทยได้ สามารถเข้าศึกษาในหลักสูตรนานาชาติ และกรณีผู้สมัครเป็นคนต่างชาติแต่สามารถใช้ภาษาไทยและสื่อสารภาษาไทยได้เป็นอย่างดี สามารถสมัครเข้าศึกษาหลักสูตรปกติได้ 
หรือ สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง ตาบอดสี สามารถสมัครเรียนได้ไหม,"กรณีตาบอดสีที่ไม่เป็นอุปสรรคต่อการเรียนสามารถเข้าศึกษาได้ แต่หากตาบอดสีที่เป็นอุปกรณ์ในการเรียน เช่น ไม่สามารถแยกสีแดง สีเขียว สีเหลือง ได้ ก็ไม่สามารถเข้าศึกษาหลักสูตรวิศวกรรมไฟฟ้า วิศวกรรมโทรคมนาคม วิศวกรรมระบบอิเล็กทรอนิกส์ 
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง การถอนวิชาที่เรียน,"กรณีถอนรายวิชาไม่ติดสัญลักษณ์ W นักศึกษาสามารถถอนรายวิชาเรียน ผ่านระบบ https://reg.kku.ac.th ก่อนวันสอบกลางภาค
กรณีถอนรายวิชาติดสัญลักษณ์ W นักศึกษาสามารถถอนรายวิชาเรียน ผ่านระบบ https://req.kku.ac.th ก่อนสอบปลายภาค 1 สัปดาห์ 
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง การกู้ยืม กยศ,"นักศึกษาสามารถศึกษารายละเอียดการกู้ยืมเงิน กยศ. ได้ที่
https://sac.kku.ac.th/กยศ
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง คืนสภาพนักศึกษา,"นักศึกษาสามารถขอคืนสภาพการเป็นนักศึกษาได้เพียง 1 ครั้ง ในกรณีที่
1.ลาออก 2.พ้นสภาพการเป็นนักศึกษาเนื่องจากไม่ต่อทะเบียน 
โดยนักศึกษาต้องยื่นคำร้องก่อนเปิดภาคการศึกษาเป็นเวลาอย่างน้อย 6 สัปดาห์ ผ่านระบบ https://req.kku.ac.th
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง การยื่นสำเร็จการศึกษา,"เมื่อนักศึกษาเรียนครบหลักสูตร ผ่านเกณฑ์บังคับรายวิชาของหลักสูตร ผ่านการสอบวัดความถนัดทางคอมพิวเตอร์ และการสอบวัดความถนัดด้านภาษาอังกฤษ นักศึกษาสามารถยื่นคำร้องขอสำเร็จการศึกษา ผ่านระบบ https://reg.kku.ac.th
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
